"Account","Flag","Date","Payee","Category Group/Category","Category Group","Category","Memo","Outflow","Inflow","Cleared"
"Credit Card (TG)","","22-07-2024","","Cumulative: Eating Out","Cumulative","Eating Out","SKIPTHEDISHES WINNIPEG MB",11.08$,0.00$,"Reconciled"
"Credit Card (TG)","","21-07-2024","","Cumulative: Car","Cumulative","Car","PIONEER #42537 LINDSAY ON",60.00$,0.00$,"Reconciled"
"Credit Card (TG)","","21-07-2024","","Cumulative: Books & Education","Cumulative","Books & Education","GLOBE AND MAIL TORONTO ON",29.36$,0.00$,"Reconciled"
"Credit Card (TG)","","21-07-2024","","Cumulative: Fun, Dates & Hobbies","Cumulative","Fun, Dates & Hobbies","drinks with Hamish & Marco on run",16.00$,0.00$,"Reconciled"
"Credit Card (TG)","","21-07-2024","","Cumulative: Eating Out","Cumulative","Eating Out","TIM HORTONS #2064 LINDSAY ON",13.73$,0.00$,"Reconciled"
"Credit Card (TG)","","20-07-2024","","Cumulative: Travel","Cumulative","Travel","THE VICTORIA MOTEL LINDSAY ON",107.35$,0.00$,"Reconciled"
"Reconcile account","","19-07-2024","Transfer : Tim's Pension","Savings: Retirement","Savings","Retirement","Pension transfer",312.00$,0.00$,"Reconciled"
"Credit Card (TG)","","19-07-2024","","Cumulative: Fun, Dates & Hobbies","Cumulative","Fun, Dates & Hobbies","SOBEYS #938 TORONTO ON - BBQ having people over",30.87$,0.00$,"Reconciled"
"Credit Card (TG)","","19-07-2024","","Cumulative: Tim's Choice","Cumulative","Tim's Choice","Hair trimmer",22.77$,0.00$,"Reconciled"
"Tim's Pension","","19-07-2024","Transfer : Reconcile account","","","","Pension transfer",0.00$,312.00$,"Reconciled"
"Reconcile account","","19-07-2024","Timmy's Pension","Inflow: Ready to Assign","Inflow","Ready to Assign","Pension Payment",0.00$,312.00$,"Reconciled"
"Viv's Paycheck (TD)","","19-07-2024","CCB","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,429.72$,"Reconciled"
"Viv's TFSA","","18-07-2024","Transfer : Reconcile account","","","","Transfer in",15000.00$,0.00$,"Reconciled"
"Reconcile account","","18-07-2024","Transfer : WS Joint Checking","","","","Transfer in",15000.00$,0.00$,"Reconciled"
"Credit Card (TG)","","18-07-2024","","Monthly: Groceries","Monthly","Groceries","GEORGE'S NF TORONTO BR TORONTO O",126.74$,0.00$,"Reconciled"
"WS Joint Checking","","18-07-2024","World Vision","Inflow: Ready to Assign","Inflow","Ready to Assign","Direct deposit from World Vision Ca",0.00$,1000.00$,"Reconciled"
"WS Joint Checking","","18-07-2024","Transfer : Reconcile account","","","","Transfer in",0.00$,15000.00$,"Reconciled"
"Reconcile account","","18-07-2024","Transfer : Viv's TFSA","Savings: House","Savings","House","Transfer in",0.00$,15000.00$,"Reconciled"
"WS Joint Checking","","17-07-2024","Interac - Purchase - ST JACOBS F","Cumulative: Special Splurge","Cumulative","Special Splurge","Chair",977.50$,0.00$,"Reconciled"
"Everyday Checking (TG)","","17-07-2024","Transfer : Reconcile account","","","","EFT Withdrawal to WS Investments",156.00$,0.00$,"Reconciled"
"Reconcile account","","17-07-2024","Transfer : Vivian's FHSA","Savings: House","Savings","House","",156.00$,0.00$,"Reconciled"
"Reconcile account","","17-07-2024","Transfer : Timmy's FHSA","Savings: House","Savings","House","",133.00$,0.00$,"Reconciled"
"Everyday Checking (TG)","","17-07-2024","","Cumulative: Weddings","Cumulative","Weddings","INTERAC e-Transfer To: Kaitlyn H - for bachelorrette?",123.11$,0.00$,"Reconciled"
"BBC Visa","","17-07-2024","","Tax Deductible: Timmy's Work","Tax Deductible","Timmy's Work","RECEIPT BK US TA DEXT WWW.DEXT.COM, DC",37.50$,0.00$,"Reconciled"
"Cash","","17-07-2024","","Monthly: Groceries","Monthly","Groceries","cash groceries at shoppers",30.00$,0.00$,"Cleared"
"Cash","","17-07-2024","","Cumulative: Fun, Dates & Hobbies","Cumulative","Fun, Dates & Hobbies","cash from Joel and Alexis for T Island tix, bachelorrette weekend",0.00$,25.00$,"Cleared"
"Timmy's FHSA","","17-07-2024","Transfer : Reconcile account","","","","",0.00$,133.00$,"Reconciled"
"Vivian's FHSA","","17-07-2024","Transfer : Reconcile account","","","","",0.00$,156.00$,"Reconciled"
"Reconcile account","","17-07-2024","Transfer : Everyday Checking (TG)","","","","EFT Withdrawal to WS Investments",0.00$,156.00$,"Reconciled"
"Everyday Checking (TG)","","17-07-2024","World Vision","Inflow: Ready to Assign","Inflow","Ready to Assign","EFT Deposit from World Vision Ca",0.00$,823.82$,"Reconciled"
"BBC Chequing","","16-07-2024","INTERAC E-TRANSFER SEND PaySimply for CRA","Tax Deductible: Timmy's Work","Tax Deductible","Timmy's Work","",972.64$,0.00$,"Reconciled"
"Credit Card (TG)","","16-07-2024","","Monthly: Internet","Monthly","Internet","OXIO.CA MONTREAL QC",56.50$,0.00$,"Reconciled"
"WS Joint Checking","","16-07-2024","Transfer : Reconcile account","","","","Transfer out",53.20$,0.00$,"Reconciled"
"WS Joint Checking","","16-07-2024","Transfer : Reconcile account","","","","Transfer out",53.20$,0.00$,"Reconciled"
"Everyday Checking (TG)","","16-07-2024","To World Vision","Tax Deductible: God's Money","Tax Deductible","God's Money","EFT Withdrawal to World Vision",49.00$,0.00$,"Reconciled"
"WS Joint Checking","","16-07-2024","Transfer : Reconcile account","","","","Transfer out",26.60$,0.00$,"Reconciled"
"Reconcile account","","16-07-2024","Transfer : WS Joint Checking","","","","Transfer out",0.00$,26.60$,"Reconciled"
"Reconcile account","","16-07-2024","Transfer : WS Joint Checking","","","","Transfer out",0.00$,53.20$,"Reconciled"
"Reconcile account","","16-07-2024","Transfer : WS Joint Checking","","","","Transfer out",0.00$,53.20$,"Reconciled"
"Credit Card (TG)","","15-07-2024","","Tax Deductible: God's Money","Tax Deductible","God's Money","CANADAHELPS *DONATION 877-755-15",50.00$,0.00$,"Reconciled"
"Viv's Paycheck (TD)","","15-07-2024","E-TRANSFER ***dpf","Cumulative: Fees","Cumulative","Fees","",0.00$,0.91$,"Reconciled"
"Credit Card (TG)","","13-07-2024","","Tax Deductible: God's Money","Tax Deductible","God's Money","INTER-VARSITY 800-668-9766 ON",250.00$,0.00$,"Reconciled"
"Credit Card (TG)","","13-07-2024","","Tax Deductible: God's Money","Tax Deductible","God's Money","CANADAHELPS *DONATION 877-755-15",20.00$,0.00$,"Reconciled"
"Credit Card (TG)","","12-07-2024","","Cumulative: Progeny","Cumulative","Progeny","LITTLE ONES CLOSET TORONTO ON",44.07$,0.00$,"Reconciled"
"Everyday Checking (TG)","","12-07-2024","Government","Inflow: Ready to Assign","Inflow","Ready to Assign","EFT Deposit Climate Action Incen",0.00$,245.00$,"Reconciled"
"Credit Card (TG)","","11-07-2024","","Cumulative: Fun, Dates & Hobbies","Cumulative","Fun, Dates & Hobbies","CITY TOR. FERRY DOCKS- TORONTO O",45.55$,0.00$,"Reconciled"
"Credit Card (TG)","","11-07-2024","","Cumulative: Progeny","Cumulative","Progeny","WELL.CA GUELPH ON",44.22$,0.00$,"Reconciled"
"Reconcile account","","10-07-2024","Transfer : Vivian's FHSA","Savings: House","Savings","House","",156.00$,0.00$,"Reconciled"
"Everyday Checking (TG)","","10-07-2024","Transfer : Reconcile account","","","","EFT Withdrawal to WS Investments",156.00$,0.00$,"Reconciled"
"Credit Card (TG)","","10-07-2024","","Monthly: Groceries","Monthly","Groceries","NOFRILLS ROCCA'S #3931 TORONTO O",122.52$,0.00$,"Reconciled"
"WS Joint Checking","","10-07-2024","Interest","Inflow: Ready to Assign","Inflow","Ready to Assign","Transfer in",0.00$,0.62$,"Reconciled"
"Vivian's FHSA","","10-07-2024","Transfer : Reconcile account","","","","",0.00$,156.00$,"Reconciled"
"Reconcile account","","10-07-2024","Transfer : Everyday Checking (TG)","","","","EFT Withdrawal to WS Investments",0.00$,156.00$,"Reconciled"
"WS Joint Checking","","09-07-2024","Transfer : Reconcile account","","","","Transfer out",266.00$,0.00$,"Reconciled"
"Reconcile account","","09-07-2024","Transfer : Timmy's FHSA","Savings: House","Savings","House","",266.00$,0.00$,"Reconciled"
"Timmy's FHSA","","09-07-2024","Investment Gain/Loss","","","","Entered automatically by YNAB",177.39$,0.00$,"Reconciled"
"BBC Chequing","","09-07-2024","ACCOUNTS PAYABLE INTUIT CANADA U CHEQUE","Tax Deductible: Timmy's Work","Tax Deductible","Timmy's Work","",78.77$,0.00$,"Reconciled"
"Reconcile account","","09-07-2024","Transfer : WS Joint Checking","","","","Transfer out",0.00$,266.00$,"Reconciled"
"Timmy's FHSA","","09-07-2024","Transfer : Reconcile account","","","","",0.00$,266.00$,"Reconciled"
"WS Joint Checking","","09-07-2024","Viv EI","Inflow: Ready to Assign","Inflow","Ready to Assign","Direct deposit from CANADA",0.00$,804.00$,"Reconciled"
"BBC Chequing","","08-07-2024","Transfer : WS Joint Checking","","","","Deposit",4138.52$,0.00$,"Reconciled"
"Credit Card (TG)","","08-07-2024","","Cumulative: Books & Education","Cumulative","Books & Education","WESTERN IVEY MBA LONDON ON",150.00$,0.00$,"Reconciled"
"Credit Card (TG)","","08-07-2024","","Cumulative: Clothes","Cumulative","Clothes","MEC MOUNTAIN EQUIPMENT NORTH YOR",135.13$,0.00$,"Reconciled"
"Viv's Paycheck (TD)","","08-07-2024","Transfer : Cash","","","","",120.00$,0.00$,"Reconciled"
"Credit Card (TG)","","08-07-2024","","Monthly: Cellphone","Monthly","Cellphone","FIDO Mobile ******1514 888-481-3",102.84$,0.00$,"Reconciled"
"BBC Chequing","","08-07-2024","ACCOUNTS PAYABLE INTUIT CANADA U CHEQUE","Tax Deductible: Timmy's Work","Tax Deductible","Timmy's Work","",12.05$,0.00$,"Reconciled"
"Cash","","08-07-2024","Transfer : Viv's Paycheck (TD)","","","","",0.00$,120.00$,"Cleared"
"BBC Chequing","","08-07-2024","BBC Income","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,2707.73$,"Reconciled"
"WS Joint Checking","","08-07-2024","Transfer : BBC Chequing","","","","Deposit",0.00$,4138.52$,"Reconciled"
"Credit Card (TG)","","07-07-2024","","Cumulative: Car","Cumulative","Car","2575198 ONTARIO INC/FL FLESHERTO",65.00$,0.00$,"Reconciled"
"Credit Card (TG)","","06-07-2024","","Monthly: Groceries","Monthly","Groceries","FOOD BASICS 880 TORONTO ON",69.17$,0.00$,"Reconciled"
"Credit Card (TG)","","06-07-2024","","Cumulative: Eating Out","Cumulative","Eating Out","PARALLEL TORONTO ON",66.76$,0.00$,"Reconciled"
"Credit Card (TG)","","06-07-2024","","Monthly: Groceries","Monthly","Groceries","NOFRILLS ROCCA'S #3931 TORONTO O",43.52$,0.00$,"Reconciled"
"Credit Card (TG)","","06-07-2024","","Cumulative: Eating Out","Cumulative","Eating Out","STARBUCKS COFFEE #2562 TORONTO O",6.61$,0.00$,"Reconciled"
"Reconcile account","","05-07-2024","Transfer : Tim's Pension","Savings: Retirement","Savings","Retirement","Pension transfer",312.00$,0.00$,"Reconciled"
"Credit Card (TG)","","05-07-2024","","Cumulative: Car","Cumulative","Car","ESSO CIRCLE K BRAMPTON ON",83.26$,0.00$,"Reconciled"
"Credit Card (TG)","","05-07-2024","","Tax Deductible: God's Money","Tax Deductible","God's Money","WORLD VISION MISSISSAUGA ON",39.00$,0.00$,"Reconciled"
"Credit Card (TG)","","05-07-2024","","Cumulative: Clothes","Cumulative","Clothes","nursing bras - amazon",38.41$,0.00$,"Reconciled"
"Reconcile account","","05-07-2024","Timmy's Pension","Inflow: Ready to Assign","Inflow","Ready to Assign","Pension Payment",0.00$,312.00$,"Reconciled"
"Tim's Pension","","05-07-2024","Transfer : Reconcile account","","","","Pension transfer",0.00$,312.00$,"Reconciled"
"BBC Chequing","","05-07-2024","BBC Income","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,406.80$,"Reconciled"
"BBC Chequing","","04-07-2024","Transfer : WS Joint Checking","","","","Deposit",3000.00$,0.00$,"Reconciled"
"Viv's Paycheck (TD)","","04-07-2024","Transfer : Credit Card (TG)","","","","",1700.00$,0.00$,"Reconciled"
"Viv's Paycheck (TD)","","04-07-2024","Transfer : WS Joint Checking","","","","Deposit",980.00$,0.00$,"Reconciled"
"Everyday Checking (TG)","","04-07-2024","Canada Helps","Tax Deductible: God's Money","Tax Deductible","God's Money","Visa Debit - Purchase - CANADAHE",100.00$,0.00$,"Reconciled"
"Credit Card (TG)","","04-07-2024","","Cumulative: Progeny","Cumulative","Progeny","nursing pads - amazon",84.71$,0.00$,"Reconciled"
"BBC Chequing","","04-07-2024","ACCOUNTS PAYABLE INTUIT CANADA U CHEQUE","Tax Deductible: Timmy's Work","Tax Deductible","Timmy's Work","",18.60$,0.00$,"Reconciled"
"WS Joint Checking","","04-07-2024","Transfer : Viv's Paycheck (TD)","","","","Deposit",0.00$,980.00$,"Reconciled"
"WS Joint Checking","","04-07-2024","World Vision","Inflow: Ready to Assign","Inflow","Ready to Assign","Direct deposit from World Vision Ca",0.00$,1000.00$,"Reconciled"
"Credit Card (TG)","","04-07-2024","Transfer : Viv's Paycheck (TD)","","","","",0.00$,1700.00$,"Reconciled"
"WS Joint Checking","","04-07-2024","Transfer : BBC Chequing","","","","Deposit",0.00$,3000.00$,"Reconciled"
"Everyday Checking (TG)","","03-07-2024","Transfer : Reconcile account","","","","EFT Withdrawal to WS Investments",156.00$,0.00$,"Reconciled"
"Reconcile account","","03-07-2024","Transfer : Vivian's FHSA","Savings: House","Savings","House","",156.00$,0.00$,"Reconciled"
"Credit Card (TG)","","03-07-2024","","Cumulative: Home Improvement","Cumulative","Home Improvement","bath mat, hangers, apple slicer - amazon",93.35$,0.00$,"Reconciled"
"BBC Visa","","03-07-2024","","Tax Deductible: Timmy's Work","Tax Deductible","Timmy's Work","Amazon Web Services www.amazon.ca, ON",0.79$,0.00$,"Reconciled"
"Vivian's FHSA","","03-07-2024","Transfer : Reconcile account","","","","",0.00$,156.00$,"Reconciled"
"Reconcile account","","03-07-2024","Transfer : Everyday Checking (TG)","","","","EFT Withdrawal to WS Investments",0.00$,156.00$,"Reconciled"
"BBC Chequing","","03-07-2024","BBC Income","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,632.80$,"Reconciled"
"Everyday Checking (TG)","","03-07-2024","World Vision","Inflow: Ready to Assign","Inflow","Ready to Assign","EFT Deposit from World Vision Ca",0.00$,823.82$,"Reconciled"
"BBC Chequing","","03-07-2024","BBC Income","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,1114.18$,"Reconciled"
"BBC Visa","","02-07-2024","","Tax Deductible: Timmy's Work","Tax Deductible","Timmy's Work","INTUIT *QBooks Online 888-829-8589, AB",186.45$,0.00$,"Reconciled"
"Everyday Checking (TG)","","02-07-2024","To INTER-VARSITY","Tax Deductible: God's Money","Tax Deductible","God's Money","EFT Withdrawal to INTER-VARSITY",50.00$,0.00$,"Reconciled"
"Everyday Checking (TG)","","02-07-2024","To Economical Ins.","Hidden Categories: Rent","Hidden Categories","Rent","EFT Withdrawal to Economical Ins",39.96$,0.00$,"Reconciled"
"BBC Visa","","02-07-2024","","Tax Deductible: Timmy's Work","Tax Deductible","Timmy's Work","GOOGLE*GSUITE BENDERBO CC GOOGLE.COM, CA",18.72$,0.00$,"Reconciled"
"Credit Card (TG)","","02-07-2024","","Cumulative: Clothes","Cumulative","Clothes","VALUE VILLAGE # 2040 TORONTO ON",15.62$,0.00$,"Reconciled"
"Credit Card (TG)","","02-07-2024","","Monthly: Groceries","Monthly","Groceries","MOBERLY NATURAL FOODS TORONTO ON",11.98$,0.00$,"Reconciled"
"Viv's Paycheck (TD)","","02-07-2024","Kelly","Cumulative: Clothes","Cumulative","Clothes","Kelly clothes fiasco",0.00$,125.00$,"Reconciled"
"WS Joint Checking","","01-07-2024","","Hidden Categories: Rent","Hidden Categories","Rent","Split (1/2) ",1600.00$,0.00$,"Reconciled"
"WS Joint Checking","","01-07-2024","","Hidden Categories: Hydro","Hidden Categories","Hydro","Split (2/2) ",74.73$,0.00$,"Reconciled"
"Everyday Checking (TG)","","01-07-2024","Canada Helps","Tax Deductible: God's Money","Tax Deductible","God's Money","Visa Debit - Purchase - CANADAHE",70.00$,0.00$,"Reconciled"
"Everyday Checking (TG)","","01-07-2024","Canada Helps","Tax Deductible: God's Money","Tax Deductible","God's Money","Visa Debit - Purchase - CANADAHE",30.00$,0.00$,"Reconciled"
"WS Joint Checking","","01-07-2024","Interest","Inflow: Ready to Assign","Inflow","Ready to Assign","Interest earned",0.00$,13.64$,"Reconciled"
"Timmy's TFSA","","30-06-2024","Investment Gain/Loss","","","","Entered automatically by YNAB",671.70$,0.00$,"Reconciled"
"Viv's TFSA","","30-06-2024","Investment Gain/Loss","","","","Entered automatically by YNAB",435.90$,0.00$,"Reconciled"
"Reconcile account","","30-06-2024","Transfer : Viv's Pension","Savings: Retirement","Savings","Retirement","Pension Transfer",291.75$,0.00$,"Reconciled"
"Credit Card (TG)","","30-06-2024","","Cumulative: Public Transportation","Cumulative","Public Transportation","PRESTO BROADVIEW STN TORONTO ON",50.00$,0.00$,"Reconciled"
"Credit Card (TG)","","30-06-2024","","Cumulative: Public Transportation","Cumulative","Public Transportation","PRESTO BROADVIEW STN TORONTO ON",50.00$,0.00$,"Reconciled"
"Everyday Checking (TG)","","30-06-2024","Interest","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,0.02$,"Reconciled"
"CC Rewards (TG)","","30-06-2024","Interest","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,0.11$,"Reconciled"
"Vivian's FHSA","","30-06-2024","Gas","","","","Entered automatically by YNAB",0.00$,36.28$,"Reconciled"
"Viv's Pension","","30-06-2024","Transfer : Reconcile account","","","","Pension Transfer",0.00$,291.75$,"Reconciled"
"Reconcile account","","30-06-2024","Vivian Pension","Inflow: Ready to Assign","Inflow","Ready to Assign","Pension Payment",0.00$,291.75$,"Reconciled"
"BBC Chequing","","28-06-2024","Transfer : BBC Visa","","","","",515.07$,0.00$,"Reconciled"
"Credit Card (TG)","","28-06-2024","","Tax Deductible: Medical","Tax Deductible","Medical","EMBER COUNSELLING NORTH VANCOUV",125.00$,0.00$,"Reconciled"
"Credit Card (TG)","","28-06-2024","","Monthly: Groceries","Monthly","Groceries","ALI'S NO FRILLS #3636 SCARBOROUG",119.42$,0.00$,"Reconciled"
"Credit Card (TG)","","28-06-2024","","Monthly: Groceries","Monthly","Groceries","ADONIS 101201 SCARBORO SCARBOROU",25.42$,0.00$,"Reconciled"
"Viv's Paycheck (TD)","","28-06-2024","MONTHLY ACCOUNT FEE","Cumulative: Fees","Cumulative","Fees","",10.95$,0.00$,"Reconciled"
"Viv's Paycheck (TD)","","28-06-2024","ACCT BAL REBATE","Cumulative: Fees","Cumulative","Fees","",0.00$,10.95$,"Reconciled"
"CC Rewards (TG)","","28-06-2024","Credit Card Rewards Redemption","Inflow: Ready to Assign","Inflow","Ready to Assign","Credit Card Rewards Redemption",0.00$,21.21$,"Reconciled"
"BBC Visa","","28-06-2024","Transfer : BBC Chequing","","","","",0.00$,515.07$,"Reconciled"
"Viv's Paycheck (TD)","","28-06-2024","CHURCH OF THE R PAY","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,1267.49$,"Reconciled"
"Credit Card (TG)","","27-06-2024","Amazon","Cumulative: Progeny","Cumulative","Progeny","Rewards earned: 0.06 ~ Category: Bill Payment",11.29$,0.00$,"Reconciled"
"BBC Chequing","","26-06-2024","INTERNET BILL PAYMENT SEGAL GCSE LLP","Tax Deductible: Timmy's Work","Tax Deductible","Timmy's Work","",847.50$,0.00$,"Reconciled"
"WS Joint Checking","","26-06-2024","Transfer : Reconcile account","","","","Money transfer out of the account (executed at 2024-06-26)",266.00$,0.00$,"Reconciled"
"Reconcile account","","26-06-2024","Transfer : Timmy's FHSA","Savings: House","Savings","House","",266.00$,0.00$,"Reconciled"
"Everyday Checking (TG)","","26-06-2024","Transfer : Reconcile account","","","","To WS Investments",156.00$,0.00$,"Reconciled"
"Reconcile account","","26-06-2024","Transfer : Vivian's FHSA","Savings: House","Savings","House","",156.00$,0.00$,"Reconciled"
"Credit Card (TG)","","26-06-2024","FOOD BASICS 880 TORONTO ON","Monthly: Groceries","Monthly","Groceries","Rewards earned: 0.96 ~ Category: Groceries",47.75$,0.00$,"Reconciled"
"BBC Visa","","26-06-2024","GITHUB, INC. HTTPSGITHUB.C, CA 10.00 USD @ 1.405000","Tax Deductible: Timmy's Work","Tax Deductible","Timmy's Work","",14.05$,0.00$,"Reconciled"
"BBC Chequing","","26-06-2024","Interest","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,0.04$,"Reconciled"
"Reconcile account","","26-06-2024","Transfer : Everyday Checking (TG)","","","","To WS Investments",0.00$,156.00$,"Reconciled"
"Vivian's FHSA","","26-06-2024","Transfer : Reconcile account","","","","",0.00$,156.00$,"Reconciled"
"Reconcile account","","26-06-2024","Transfer : WS Joint Checking","","","","Money transfer out of the account (executed at 2024-06-26)",0.00$,266.00$,"Reconciled"
"Timmy's FHSA","","26-06-2024","Transfer : Reconcile account","","","","",0.00$,266.00$,"Reconciled"
"WS Joint Checking","","25-06-2024","Viv EI","Inflow: Ready to Assign","Inflow","Ready to Assign","Deposit (executed at 2024-06-25)",0.00$,804.00$,"Reconciled"
"WS Joint Checking","","25-06-2024","T EI","Inflow: Ready to Assign","Inflow","Ready to Assign","Deposit (executed at 2024-06-25)",0.00$,1180.00$,"Reconciled"
"Everyday Checking (TG)","","24-06-2024","Intact Insurance Company","Cumulative: Car","Cumulative","Car","To INTACT INS. CO.",136.67$,0.00$,"Reconciled"
"BBC Visa","","24-06-2024","Intuit","Tax Deductible: Timmy's Work","Tax Deductible","Timmy's Work","",124.88$,0.00$,"Reconciled"
"Everyday Checking (TG)","","24-06-2024","Visa Debit - Purchase - CANADAHE","Tax Deductible: God's Money","Tax Deductible","God's Money","CANADAHELPS *DONATION 877-755-1595  CA",60.00$,0.00$,"Reconciled"
"Everyday Checking (TG)","","24-06-2024","Visa Debit - Purchase - CANADAHE","Tax Deductible: God's Money","Tax Deductible","God's Money","CANADAHELPS *DONATION 877-755-1595  CA",50.00$,0.00$,"Reconciled"
"Credit Card (TG)","","24-06-2024","MOFER COFFEE TORONTO ON","Cumulative: Eating Out","Cumulative","Eating Out","Rewards earned: 0.16 ~ Category: Restaurant",7.76$,0.00$,"Reconciled"
"Credit Card (TG)","","23-06-2024","GLOBE AND MAIL TORONTO ON","Cumulative: Books & Education","Cumulative","Books & Education","Rewards earned: 0.15 ~ Category: Bill Payment",29.36$,0.00$,"Reconciled"
"Cash","","22-06-2024","Gifts","Cumulative: Gifts","Cumulative","Gifts","Engagement gift for Jon and Liz",80.00$,0.00$,"Cleared"
"Cash","","22-06-2024","Groceries","Monthly: Groceries","Monthly","Groceries","",20.00$,0.00$,"Cleared"
"Reconcile account","","21-06-2024","Transfer : Tim's Pension","Savings: Retirement","Savings","Retirement","Pension transfer",312.00$,0.00$,"Reconciled"
"Tim's Pension","","21-06-2024","Transfer : Reconcile account","","","","Pension transfer",0.00$,312.00$,"Reconciled"
"Reconcile account","","21-06-2024","Timmy's Pension","Inflow: Ready to Assign","Inflow","Ready to Assign","Pension Payment",0.00$,312.00$,"Reconciled"
"Credit Card (TG)","","20-06-2024","La Vie En Rose","Cumulative: Clothes","Cumulative","Clothes","Rewards earned: 0.64 ~ Category: Other",128.72$,0.00$,"Reconciled"
"Credit Card (TG)","","20-06-2024","Canadian Tire","Cumulative: Car","Cumulative","Car","Rewards earned: 0.38 ~ Category: Gas",76.96$,0.00$,"Reconciled"
"Credit Card (TG)","","20-06-2024","Amazon","Cumulative: Progeny","Cumulative","Progeny","Rewards earned: 0.20 ~ Category: Other",39.84$,0.00$,"Reconciled"
"Credit Card (TG)","","20-06-2024","ADONIS 101201 SCARBORO SCARBOROU","Monthly: Groceries","Monthly","Groceries","Rewards earned: 0.58 ~ Category: Groceries",28.78$,0.00$,"Reconciled"
"Viv's Paycheck (TD)","","20-06-2024","Government","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,397.20$,"Reconciled"
"WS Joint Checking","","20-06-2024","World Vision","Inflow: Ready to Assign","Inflow","Ready to Assign","Deposit (executed at 2024-06-20)",0.00$,1000.00$,"Reconciled"
"Everyday Checking (TG)","","19-06-2024","Transfer : Reconcile account","","","","To WS Investments",156.00$,0.00$,"Reconciled"
"Reconcile account","","19-06-2024","Transfer : Vivian's FHSA","Savings: House","Savings","House","",156.00$,0.00$,"Reconciled"
"Vivian's FHSA","","19-06-2024","Transfer : Reconcile account","","","","",0.00$,156.00$,"Reconciled"
"Reconcile account","","19-06-2024","Transfer : Everyday Checking (TG)","","","","To WS Investments",0.00$,156.00$,"Reconciled"
"Everyday Checking (TG)","","19-06-2024","World Vision","Inflow: Ready to Assign","Inflow","Ready to Assign","From World Vision Ca",0.00$,240.59$,"Reconciled"
"Credit Card (TG)","","18-06-2024","NOFRILLS ROCCA'S #3931 TORONTO O","Monthly: Groceries","Monthly","Groceries","Rewards earned: 2.55 ~ Category: Groceries",127.62$,0.00$,"Reconciled"
"Credit Card (TG)","","17-06-2024","EMBER COUNSELLING NORTH VANCOUV","Tax Deductible: Medical","Tax Deductible","Medical","Rewards earned: 0.75 ~ Category: Other",150.00$,0.00$,"Reconciled"
"Everyday Checking (TG)","","17-06-2024","EFT Withdrawal to World Vision","Tax Deductible: God's Money","Tax Deductible","God's Money","To World Vision",49.00$,0.00$,"Reconciled"
"BBC Visa","","17-06-2024","RECEIPT BK US TA DEXT WWW.DEXT.COM, DC","Tax Deductible: Timmy's Work","Tax Deductible","Timmy's Work","",37.50$,0.00$,"Reconciled"
"Credit Card (TG)","","17-06-2024","WWW COSTCO CA 888-426-7826 ON","Cumulative: Clothes","Cumulative","Clothes","Split (1/2) socks",20.00$,0.00$,"Reconciled"
"Credit Card (TG)","","17-06-2024","WWW COSTCO CA 888-426-7826 ON","Cumulative: Gifts","Cumulative","Gifts","Split (2/2) granola bars for alexis",13.98$,0.00$,"Reconciled"
"Credit Card (TG)","","17-06-2024","WWW COSTCO CA 888-426-7826 ON","Monthly: Groceries","Monthly","Groceries","Rewards earned: 0.11 ~ Category: Other",22.59$,0.00$,"Reconciled"
"Credit Card (TG)","","16-06-2024","WELL.CA GUELPH ON","Cumulative: Progeny","Cumulative","Progeny","Rewards earned: 0.44 ~ Category: Drug Store",87.57$,0.00$,"Reconciled"
"Credit Card (TG)","","16-06-2024","OXIO.CA MONTREAL QC","Monthly: Internet","Monthly","Internet","Rewards earned: 0.28 ~ Category: Bill Payment",56.50$,0.00$,"Reconciled"
"Credit Card (TG)","","16-06-2024","WWW COSTCO CA 888-426-7826 ON","Monthly: Groceries","Monthly","Groceries","Rewards earned: 0.11 ~ Category: Other",22.59$,0.00$,"Reconciled"
"Credit Card (TG)","","15-06-2024","SHOPPERS DRUG MART 128 EAST YORK","Cumulative: Health & Pharmacy","Cumulative","Health & Pharmacy","Split (1/2) ",30.00$,0.00$,"Reconciled"
"Credit Card (TG)","","15-06-2024","SHOPPERS DRUG MART 128 EAST YORK","Cumulative: Gifts","Cumulative","Gifts","Split (2/2) pregnancy gifts for alexis",83.06$,0.00$,"Reconciled"
"Everyday Checking (TG)","","15-06-2024","Visa Debit - Purchase - CANADAHE","Tax Deductible: God's Money","Tax Deductible","God's Money","CANADAHELPS *DONATION 877-755-1595  CA",50.00$,0.00$,"Reconciled"
"Everyday Checking (TG)","","13-06-2024","INTERAC e-Transfer To: Malcolm B","Cumulative: Bike","Cumulative","Bike","bike tuneup",160.00$,0.00$,"Reconciled"
